matchId,shots_array,total_shots,late_game_shots,late_game_density
2499719,"[0.9, 3.4, 11.8, 15.3, 17.5, 18.7, 24.2, 24.8, 33.6, 36.1, 37.2, 45.1, 49.4, 53.7, 57.9, 67.1, 75.4, 87.0, 88.7, 89.6, 93.8]",21,6,0.2857142857142857
2499720,"[15.8, 18.8, 26.4, 30.4, 38.0, 40.3, 43.2, 43.8, 64.2, 73.2, 78.0, 78.3, 81.5, 88.9, 92.1]",15,7,0.4666666666666667
2499721,"[2.0, 9.3, 13.0, 15.2, 15.9, 18.6, 28.7, 37.9, 41.4, 44.7, 46.2, 46.5, 53.3, 54.7, 59.9, 62.4, 64.6, 66.3, 68.9, 70.1, 70.7, 73.3, 75.9, 80.6, 88.3, 90.8, 92.5]",27,12,0.4444444444444444
2499722,"[0.3, 3.9, 6.5, 7.7, 9.3, 11.3, 13.9, 15.4, 20.8, 23.6, 26.1, 27.8, 38.6, 39.3, 55.9, 58.0, 59.7, 65.2, 66.2, 70.3, 72.6, 81.2, 86.3, 87.5, 90.4, 92.8]",26,9,0.34615384615384615
2499723,"[3.5, 13.3, 14.0, 15.5, 17.3, 25.8, 28.6, 31.8, 40.5, 41.5, 46.6, 49.7, 51.8, 53.9, 56.8, 58.2, 63.9, 64.7, 78.9, 84.6, 87.1, 91.8, 93.2]",23,7,0.30434782608695654
2499724,"[0.7, 1.8, 3.5, 17.8, 19.2, 29.4, 30.7, 31.8, 34.9, 36.0, 37.8, 41.9, 42.5, 44.1, 46.3, 49.8, 50.9, 59.2, 65.7, 66.5, 66.9, 69.0, 72.6, 76.1, 78.5, 88.1]",26,8,0.3076923076923077
2499725,"[0.6, 14.8, 20.8, 26.8, 30.4, 37.2, 45.9, 47.3, 45.4, 47.5, 47.9, 51.1, 55.5, 56.4, 63.0, 74.2, 85.3]",17,3,0.17647058823529413
2499726,"[8.8, 12.0, 13.0, 13.7, 15.0, 16.5, 21.4, 21.9, 22.6, 28.2, 31.1, 31.9, 32.4, 42.3, 45.1, 55.0, 57.3, 57.7, 62.6, 71.5, 87.2, 88.0, 89.4, 90.1]",24,6,0.25
2499727,"[0.9, 2.4, 19.1, 26.3, 27.4, 33.7, 36.4, 38.6, 39.4, 40.0, 45.6, 46.7, 48.7, 47.7, 51.7, 53.9, 60.6, 64.8, 67.0, 68.0, 73.6, 87.6, 91.7]",23,7,0.30434782608695654
2499728,"[9.3, 12.4, 20.3, 29.2, 33.6, 48.9, 54.7, 64.9, 66.1, 67.0, 67.9, 70.0, 80.3, 81.4, 83.0, 85.3, 89.4, 94.1]",18,11,0.6111111111111112
2499729,"[9.5, 20.4, 21.2, 24.5, 26.6, 33.0, 36.4, 41.8, 42.3, 44.5, 60.4, 60.6, 62.6, 64.0, 68.2, 69.4, 70.3, 78.4, 89.4, 91.4, 92.9]",21,11,0.5238095238095238
2499730,"[19.4, 20.1, 25.0, 33.2, 34.1, 36.1, 37.9, 45.9, 47.5, 50.3, 53.0, 63.7, 65.4, 66.4, 67.2, 73.0, 74.3, 77.3, 79.8, 82.6, 91.8, 92.7]",22,11,0.5
2499731,"[2.0, 4.6, 9.9, 20.5, 23.7, 28.2, 30.2, 33.1, 35.9, 40.5, 52.8, 53.8, 54.4, 57.9, 62.0, 63.3, 65.4, 76.7, 78.7, 82.0, 87.5, 88.8, 90.4]",23,9,0.391304347826087
2499732,"[4.5, 13.1, 24.1, 25.7, 31.9, 38.2, 39.6, 44.8, 49.2, 50.2, 52.4, 56.2, 56.7, 57.4, 65.4, 74.7, 77.6, 81.2]",18,4,0.2222222222222222
2499733,"[3.0, 4.6, 7.5, 13.9, 14.9, 17.3, 21.3, 28.1, 32.3, 36.4, 41.4, 45.6, 50.8, 62.3, 63.3, 68.8, 70.5, 75.9, 77.1, 83.5, 84.6, 85.6, 86.0, 91.4, 93.8, 94.2]",26,13,0.5
2499734,"[4.7, 6.7, 21.9, 29.3, 36.7, 38.4, 41.2, 44.1, 45.6, 53.4, 56.5, 62.3, 77.0, 79.2, 83.0, 87.7]",16,5,0.3125
2499735,"[6.4, 11.7, 17.0, 18.5, 20.5, 26.5, 28.6, 29.4, 38.4, 43.3, 44.8, 46.8, 50.6, 73.3, 79.4, 81.9, 88.0]",17,4,0.23529411764705882
2499736,"[8.1, 9.8, 17.1, 18.3, 19.9, 25.8, 29.5, 37.1, 39.4, 42.5, 51.3, 53.1, 53.4, 56.3, 61.0, 71.4, 72.2, 78.8, 79.3, 85.2, 89.3, 90.1, 91.1]",23,9,0.391304347826087
2499737,"[0.3, 5.2, 15.7, 16.6, 19.2, 20.7, 21.9, 22.6, 24.9, 25.2, 26.8, 27.6, 30.0, 30.7, 32.7, 33.0, 37.3, 40.8, 42.3, 47.3, 46.8, 50.1, 52.7, 57.1, 61.0, 65.8, 80.8, 82.8, 85.2, 89.2, 90.0, 91.1, 92.3, 93.5]",34,10,0.29411764705882354
2499738,"[0.4, 4.2, 10.9, 14.1, 21.4, 32.3, 35.1, 36.9, 42.0, 44.1, 47.8, 52.3, 56.8, 58.1, 58.4, 59.1, 60.1, 64.7, 70.2, 73.2, 74.6, 79.7, 81.0, 81.9, 85.6, 90.4]",26,10,0.38461538461538464
2499739,"[0.7, 1.2, 2.4, 6.8, 7.1, 10.3, 11.0, 20.7, 21.9, 22.3, 29.1, 32.2, 34.1, 37.7, 45.7, 47.5, 51.7, 55.7, 56.2, 61.1, 66.7, 73.9, 75.6, 78.6, 83.0, 84.9, 92.1, 94.2, 96.2, 98.6]",30,11,0.36666666666666664
2499740,"[1.4, 5.1, 8.2, 19.1, 21.9, 26.1, 33.8, 45.8, 46.7, 53.9, 62.6, 66.0, 70.1, 74.2, 75.3, 78.7, 79.8, 86.3, 87.7]",19,9,0.47368421052631576
2499741,"[9.6, 29.9, 31.7, 52.8, 53.4, 58.2, 63.7, 66.2, 72.3, 74.6, 76.6, 78.7, 79.5, 82.1, 91.4, 92.8]",16,10,0.625
2499742,"[1.2, 1.9, 2.8, 12.5, 15.8, 17.5, 29.2, 30.8, 32.2, 45.4, 47.5, 57.5, 62.4, 66.6, 67.4, 69.0, 71.2, 80.4, 92.3]",19,7,0.3684210526315789
2499743,"[19.0, 21.2, 22.7, 25.4, 29.7, 36.7, 37.9, 43.3, 45.5, 48.7, 51.7, 57.9, 69.7, 72.0, 75.8, 87.7]",16,4,0.25
2499744,"[1.6, 2.4, 5.3, 8.9, 11.3, 35.6, 42.4, 44.6, 45.3, 48.0, 51.3, 53.8, 59.8, 77.8, 88.0, 90.5]",16,3,0.1875
2499745,"[0.5, 1.2, 4.7, 9.5, 11.1, 13.5, 14.8, 16.9, 28.2, 31.4, 40.8, 41.4, 42.4, 47.4, 49.7, 50.5, 56.0, 57.2, 61.1, 64.9, 66.4, 70.6, 77.3, 78.4, 82.9, 85.0, 90.8, 91.5, 92.8]",29,11,0.3793103448275862
2499746,"[3.3, 14.9, 16.6, 20.6, 23.5, 29.6, 30.5, 38.7, 41.0, 43.4, 54.2, 55.8, 62.3, 71.7, 79.8, 82.6, 93.5]",17,5,0.29411764705882354
