,matchId,fouls,total fouls,fouls in second half,fouls in first half,first half foul density,second half foul density
0,2500686,"[1.0, 3.0, 13.0, 20.0, 21.0, 23.0, 31.0, 31.0, 37.0, 40.0, 41.0, 44.0, 44.0, 48.0, 50.0, 51.0, 54.0, 57.0, 59.0, 61.0, 64.0, 67.0, 68.0, 72.0, 74.0, 79.0, 80.0, 81.0, 82.0, 84.0, 85.0, 87.0]",32,19,13,0.40625,0.59375
1,2500687,"[9.0, 13.0, 17.0, 23.0, 25.0, 27.0, 32.0, 35.0, 37.0, 39.0, 45.0, 46.0, 50.0, 52.0, 56.0, 57.0, 60.0, 61.0, 63.0, 64.0, 65.0, 67.0, 68.0, 70.0, 73.0, 74.0, 76.0, 78.0, 85.0]",29,19,10,0.3448275862068966,0.6551724137931034
2,2500688,"[10.0, 10.0, 15.0, 24.0, 27.0, 28.0, 30.0, 36.0, 40.0, 41.0, 42.0, 44.0, 45.0, 42.0, 45.0, 51.0, 51.0, 52.0, 57.0, 64.0, 66.0, 67.0, 71.0, 72.0, 76.0, 87.0]",26,13,13,0.5,0.5
3,2500689,"[1.0, 6.0, 7.0, 12.0, 14.0, 15.0, 35.0, 42.0, 46.0, 47.0, 42.0, 45.0, 50.0, 59.0, 60.0, 61.0, 63.0, 76.0]",18,9,9,0.5,0.5
4,2500690,"[6.0, 7.0, 17.0, 19.0, 19.0, 27.0, 33.0, 33.0, 36.0, 38.0, 40.0, 41.0, 44.0, 58.0, 59.0, 67.0, 76.0, 78.0, 78.0, 81.0, 85.0]",21,8,13,0.6190476190476191,0.38095238095238093
5,2500691,"[4.0, 7.0, 7.0, 9.0, 10.0, 13.0, 15.0, 21.0, 23.0, 25.0, 29.0, 36.0, 40.0, 41.0, 43.0, 44.0, 42.0, 42.0, 44.0, 46.0, 51.0, 60.0, 64.0, 70.0, 72.0, 73.0, 74.0, 75.0, 76.0, 80.0, 82.0, 84.0, 86.0, 86.0, 89.0]",35,16,19,0.5428571428571428,0.45714285714285713
6,2500692,"[2.0, 6.0, 10.0, 16.0, 17.0, 23.0, 25.0, 36.0, 37.0, 41.0, 63.0, 65.0, 72.0, 75.0, 77.0, 77.0, 78.0, 85.0, 85.0, 87.0, 90.0]",21,11,10,0.47619047619047616,0.5238095238095238
7,2500693,"[9.0, 11.0, 13.0, 14.0, 28.0, 38.0, 38.0, 44.0, 41.0, 44.0, 48.0, 49.0, 55.0, 61.0, 63.0, 64.0, 72.0, 73.0, 80.0, 84.0, 89.0]",21,11,10,0.47619047619047616,0.5238095238095238
8,2500694,"[2.0, 11.0, 12.0, 20.0, 21.0, 33.0, 44.0, 40.0, 43.0, 45.0, 46.0, 47.0, 47.0, 60.0, 65.0, 77.0, 79.0, 82.0, 85.0]",19,10,9,0.47368421052631576,0.5263157894736842
9,2500695,"[1.0, 6.0, 6.0, 9.0, 13.0, 14.0, 16.0, 19.0, 26.0, 38.0, 40.0, 43.0, 47.0, 48.0, 57.0, 57.0, 58.0, 71.0, 73.0, 76.0, 86.0]",21,9,12,0.5714285714285714,0.42857142857142855
