,eventId,subEventName,matchId,teamId,eventSec,eventMin
38,2,Foul,2500686,3799,68.621397,1.0
70,2,Foul,2500686,3772,173.279043,3.0
271,2,Foul,2500686,3799,780.411047,13.0
397,2,Foul,2500686,3772,1189.224805,20.0
424,2,Foul,2500686,3799,1259.367422,21.0
479,2,Foul,2500686,3772,1387.918094,23.0
584,2,Foul,2500686,3772,1843.347092,31.0
591,2,Foul,2500686,3799,1870.156434,31.0
710,2,Foul,2500686,3799,2240.174015,37.0
763,2,Foul,2500686,3799,2422.187353,40.0
781,2,Hand foul,2500686,3772,2467.67477,41.0
830,2,Foul,2500686,3772,2618.216744,44.0
837,2,Foul,2500686,3772,2627.892274,44.0
886,2,Foul,2500686,3772,2858.194083,48.0
1114,2,Foul,2500686,3799,3005.941739,50.0
1121,2,Foul,2500686,3772,3030.700506,51.0
1206,2,Foul,2500686,3799,3269.90679,54.0
1237,2,Foul,2500686,3799,3422.8758580000003,57.0
1267,2,Foul,2500686,3772,3525.254017,59.0
1300,2,Foul,2500686,3799,3667.0366190000004,61.0
1358,2,Foul,2500686,3799,3851.899848,64.0
1400,2,Foul,2500686,3799,4026.542362,67.0
1401,2,Protest,2500686,3799,4059.0259939999996,68.0
1453,2,Foul,2500686,3799,4318.095908,72.0
1485,2,Foul,2500686,3772,4428.31114,74.0
1573,2,Foul,2500686,3799,4743.348763,79.0
1589,2,Foul,2500686,3772,4826.745303,80.0
1595,2,Foul,2500686,3772,4838.40777,81.0
1606,2,Foul,2500686,3772,4898.321066,82.0
1650,2,Foul,2500686,3772,5056.875910000001,84.0
1661,2,Foul,2500686,3799,5121.01113,85.0
1693,2,Foul,2500686,3799,5228.499541,87.0
1886,2,Foul,2500687,3776,550.321921,9.0
1959,2,Foul,2500687,3770,781.540056,13.0
2022,2,Foul,2500687,3770,1015.10816,17.0
2156,2,Foul,2500687,3776,1405.443687,23.0
2188,2,Foul,2500687,3770,1507.474834,25.0
2213,2,Foul,2500687,3770,1600.160244,27.0
2312,2,Foul,2500687,3776,1925.556351,32.0
2368,2,Foul,2500687,3776,2084.678345,35.0
2410,2,Foul,2500687,3770,2242.350531,37.0
2439,2,Foul,2500687,3770,2358.065591,39.0
2652,2,Foul,2500687,3776,2680.869703,45.0
2670,2,Foul,2500687,3770,2784.807363,46.0
2726,2,Foul,2500687,3776,2992.796787,50.0
2793,2,Foul,2500687,3770,3142.089617,52.0
2848,2,Foul,2500687,3776,3335.972161,56.0
2872,2,Foul,2500687,3776,3416.319081,57.0
2910,2,Foul,2500687,3770,3611.828834,60.0
2921,2,Foul,2500687,3770,3659.6221130000004,61.0
2931,2,Foul,2500687,3776,3781.0566200000003,63.0
2944,2,Foul,2500687,3770,3821.3102769999996,64.0
2955,2,Out of game foul,2500687,3776,3897.155176,65.0
2992,2,Foul,2500687,3770,4008.790143,67.0
3036,2,Foul,2500687,3770,4106.402419,68.0
3041,2,Foul,2500687,3770,4171.699548,70.0
3091,2,Foul,2500687,3770,4379.3373360000005,73.0
3117,2,Foul,2500687,3776,4441.267279,74.0
3161,2,Foul,2500687,3776,4580.234689,76.0
