,eventId,subEventName,matchId,teamId,eventSec,eventMin
68,10,Shot,2575959,3172,193.924279,3.0
90,10,Shot,2575959,3158,250.84315200000003,4.0
213,10,Shot,2575959,3158,633.5777740000001,11.0
426,10,Shot,2575959,3158,1359.469422,23.0
435,10,Shot,2575959,3172,1412.601525,24.0
451,10,Shot,2575959,3172,1462.267677,24.0
466,10,Shot,2575959,3172,1492.408601,25.0
513,10,Shot,2575959,3172,1666.254775,28.0
520,10,Shot,2575959,3172,1725.8669799999998,29.0
616,10,Shot,2575959,3172,2121.006686,35.0
701,10,Shot,2575959,3158,2351.788882,39.0
751,10,Shot,2575959,3172,2557.792147,43.0
858,10,Shot,2575959,3172,2887.203895,48.0
1112,10,Shot,2575959,3172,3736.4702319999997,62.0
1225,10,Shot,2575959,3158,4134.003703,69.0
1232,10,Shot,2575959,3172,4179.11455,70.0
1260,10,Shot,2575959,3172,4255.649153,71.0
1404,10,Shot,2575959,3172,4879.164817,81.0
1479,10,Shot,2575959,3172,5175.333254,86.0
1556,10,Shot,2575959,3172,5503.579891,92.0
1602,10,Shot,2575959,3172,5674.571855,95.0
1604,10,Shot,2575959,3172,5677.489908,95.0
1641,10,Shot,2575960,3185,91.19346499999996,2.0
1685,10,Shot,2575960,3166,250.371361,4.0
1765,10,Shot,2575960,3166,481.015625,8.0
1824,10,Shot,2575960,3166,706.8940580000001,12.0
1923,10,Shot,2575960,3185,964.112513,16.0
1958,10,Shot,2575960,3166,1094.348586,18.0
2082,10,Shot,2575960,3166,1524.879756,25.0
2109,10,Shot,2575960,3166,1592.832659,27.0
2179,10,Shot,2575960,3166,1820.744623,30.0
2218,10,Shot,2575960,3185,1979.741913,33.0
2378,10,Shot,2575960,3185,2573.462123,43.0
2400,10,Shot,2575960,3185,2706.712156,45.0
2519,10,Shot,2575960,3166,3112.22526,52.0
2637,10,Shot,2575960,3166,3424.235031,57.0
2661,10,Shot,2575960,3185,3469.30125,58.0
2853,10,Shot,2575960,3166,4217.25552,70.0
2988,10,Shot,2575960,3166,4760.071428,79.0
3125,10,Shot,2575960,3166,5443.433958,91.0
3145,10,Shot,2575960,3166,5503.119047,92.0
3316,10,Shot,2575961,3157,768.279757,13.0
3358,10,Shot,2575961,3157,907.533902,15.0
3378,10,Shot,2575961,3197,996.913283,17.0
3399,10,Shot,2575961,3157,1058.642403,18.0
3425,10,Shot,2575961,3197,1206.199307,20.0
3465,10,Shot,2575961,3157,1315.423949,22.0
3488,10,Shot,2575961,3157,1376.164822,23.0
3628,10,Shot,2575961,3157,1871.999511,31.0
3653,10,Shot,2575961,3157,1950.105033,33.0
3720,10,Shot,2575961,3157,2238.470119,37.0
3751,10,Shot,2575961,3157,2335.03467,39.0
3942,10,Shot,2575961,3197,2873.828405,48.0
3991,10,Shot,2575961,3157,3012.047919,50.0
4251,10,Shot,2575961,3157,4015.464484,67.0
4263,10,Shot,2575961,3157,4088.8844879999997,68.0
4282,10,Shot,2575961,3197,4203.014019,70.0
4317,10,Shot,2575961,3157,4339.613584,72.0
4421,10,Shot,2575961,3157,4696.378613,78.0
4428,10,Shot,2575961,3157,4724.951401,79.0
4530,10,Shot,2575961,3157,5162.858965,86.0
4549,10,Shot,2575961,3157,5239.862117000001,87.0
4558,10,Shot,2575961,3197,5281.399951,88.0
4680,10,Shot,2575962,3187,152.449676,3.0
4981,10,Shot,2575962,3187,1032.351748,17.0
4999,10,Shot,2575962,3187,1116.573538,19.0
5082,10,Shot,2575962,3187,1300.354769,22.0
5116,10,Shot,2575962,3194,1426.674525,24.0
5161,10,Shot,2575962,3187,1553.613627,26.0
5232,10,Shot,2575962,3187,1708.707095,28.0
5342,10,Shot,2575962,3187,2209.230092,37.0
5357,10,Shot,2575962,3187,2307.667592,38.0
5402,10,Shot,2575962,3194,2469.110992,41.0
5408,10,Shot,2575962,3194,2495.316419,42.0
5420,10,Shot,2575962,3194,2541.768077,42.0
5435,10,Shot,2575962,3187,2598.663953,43.0
