,matchId,fouls,total fouls,early game fouls,late game fouls,early game foul density,late game foul density
0,2575959,"[1.0, 2.0, 8.0, 9.0, 11.0, 17.0, 20.0, 22.0, 27.0, 30.0, 32.0, 33.0, 34.0, 37.0, 37.0, 40.0, 47.0, 53.0, 55.0, 60.0, 66.0, 68.0, 70.0, 73.0, 83.0, 85.0, 88.0, 89.0, 91.0]",29,19,10,0.6551724137931034,0.3448275862068966
1,2575960,"[2.0, 13.0, 18.0, 19.0, 20.0, 29.0, 31.0, 39.0, 40.0, 42.0, 44.0, 46.0, 47.0, 49.0, 54.0, 58.0, 59.0, 61.0, 62.0, 71.0, 72.0, 72.0, 74.0, 76.0, 80.0, 86.0, 88.0, 92.0]",28,17,11,0.6071428571428571,0.39285714285714285
2,2575961,"[2.0, 6.0, 8.0, 8.0, 11.0, 11.0, 13.0, 19.0, 27.0, 31.0, 37.0, 45.0, 48.0, 49.0, 51.0, 52.0, 53.0, 59.0, 69.0, 71.0, 86.0, 90.0, 91.0, 93.0]",24,18,6,0.75,0.25
3,2575962,"[12.0, 23.0, 25.0, 27.0, 35.0, 37.0, 40.0, 45.0, 51.0, 74.0, 81.0, 87.0, 89.0, 91.0, 91.0, 92.0, 93.0]",17,9,8,0.5294117647058824,0.47058823529411764
4,2575963,"[4.0, 6.0, 10.0, 13.0, 15.0, 16.0, 29.0, 45.0, 47.0, 47.0, 55.0, 63.0, 65.0, 67.0, 68.0, 72.0, 81.0, 86.0, 91.0, 94.0]",20,11,9,0.55,0.45
5,2575964,"[1.0, 3.0, 3.0, 13.0, 20.0, 22.0, 32.0, 36.0, 39.0, 41.0, 47.0, 49.0, 50.0, 53.0, 59.0, 60.0, 62.0, 76.0, 77.0, 78.0, 78.0, 84.0, 88.0, 90.0]",24,15,9,0.625,0.375
6,2575965,"[1.0, 3.0, 4.0, 7.0, 13.0, 16.0, 23.0, 27.0, 32.0, 34.0, 37.0, 40.0, 50.0, 58.0, 59.0, 72.0, 75.0, 76.0, 81.0, 82.0, 88.0, 89.0, 91.0]",23,15,8,0.6521739130434783,0.34782608695652173
7,2575966,"[0.0, 2.0, 6.0, 17.0, 24.0, 27.0, 33.0, 35.0, 44.0, 48.0, 49.0, 59.0, 77.0, 79.0, 82.0, 87.0, 88.0, 89.0, 90.0, 93.0, 95.0]",21,12,9,0.5714285714285714,0.42857142857142855
8,2575967,"[0.0, 2.0, 5.0, 6.0, 7.0, 8.0, 9.0, 11.0, 16.0, 16.0, 17.0, 18.0, 20.0, 22.0, 25.0, 27.0, 31.0, 36.0, 40.0, 45.0, 46.0, 47.0, 48.0, 50.0, 50.0, 54.0, 57.0, 59.0, 60.0, 63.0, 67.0, 69.0, 74.0, 74.0, 76.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0, 82.0, 84.0, 89.0, 91.0]",45,28,17,0.6222222222222222,0.37777777777777777
9,2575968,"[4.0, 7.0, 9.0, 11.0, 18.0, 20.0, 25.0, 29.0, 32.0, 33.0, 39.0, 57.0, 63.0, 70.0, 71.0, 76.0, 81.0, 82.0, 85.0, 88.0, 90.0, 91.0, 93.0]",23,12,11,0.5217391304347826,0.4782608695652174
10,2575969,"[4.0, 13.0, 16.0, 18.0, 28.0, 32.0, 33.0, 34.0, 38.0, 40.0, 41.0, 46.0, 48.0, 51.0, 52.0, 59.0, 63.0, 75.0, 75.0, 76.0, 78.0, 79.0, 90.0, 95.0]",24,16,8,0.6666666666666666,0.3333333333333333
11,2575970,"[12.0, 16.0, 21.0, 35.0, 36.0, 43.0, 46.0, 49.0, 61.0, 62.0, 67.0, 67.0, 71.0, 74.0, 75.0, 78.0, 84.0, 86.0, 92.0]",19,8,11,0.42105263157894735,0.5789473684210527
12,2575971,"[7.0, 12.0, 21.0, 21.0, 22.0, 24.0, 25.0, 31.0, 35.0, 36.0, 37.0, 51.0, 51.0, 59.0, 59.0, 62.0, 65.0, 66.0, 67.0, 75.0, 78.0, 79.0, 84.0, 85.0, 92.0, 92.0, 94.0]",27,15,12,0.5555555555555556,0.4444444444444444
13,2575972,"[0.0, 1.0, 1.0, 11.0, 20.0, 22.0, 22.0, 25.0, 28.0, 29.0, 33.0, 36.0, 40.0, 43.0, 45.0, 47.0, 46.0, 59.0, 59.0, 67.0, 70.0, 70.0, 77.0, 78.0, 79.0, 83.0, 87.0, 88.0, 89.0, 91.0, 92.0, 92.0]",32,19,13,0.59375,0.40625
14,2575973,"[2.0, 5.0, 7.0, 8.0, 12.0, 12.0, 16.0, 18.0, 23.0, 27.0, 35.0, 41.0, 44.0, 45.0, 50.0, 53.0, 64.0, 67.0, 68.0, 76.0, 77.0, 82.0, 93.0]",23,16,7,0.6956521739130435,0.30434782608695654
15,2575974,"[2.0, 3.0, 4.0, 5.0, 7.0, 11.0, 12.0, 13.0, 13.0, 15.0, 17.0, 20.0, 28.0, 28.0, 46.0, 48.0, 50.0, 55.0, 59.0, 60.0, 61.0, 63.0, 65.0, 68.0, 78.0, 82.0, 83.0, 87.0, 88.0, 89.0, 90.0, 91.0, 91.0, 93.0, 94.0, 97.0, 98.0]",37,19,18,0.5135135135135135,0.4864864864864865
16,2575975,"[2.0, 6.0, 8.0, 9.0, 10.0, 12.0, 24.0, 32.0, 37.0, 38.0, 41.0, 54.0, 60.0, 68.0, 68.0, 70.0, 71.0, 76.0, 78.0, 82.0, 84.0, 90.0, 91.0, 91.0]",24,12,12,0.5,0.5
17,2575976,"[1.0, 4.0, 9.0, 10.0, 18.0, 21.0, 21.0, 23.0, 29.0, 31.0, 48.0, 54.0, 56.0, 65.0, 68.0, 78.0, 84.0, 88.0, 90.0, 92.0]",20,13,7,0.65,0.35
