,eventId,subEventName,matchId,teamId,eventSec,eventMin
25,2,Foul,2575959,3172,33.86950999999999,1.0
48,2,Foul,2575959,3172,123.66445999999996,2.0
151,2,Foul,2575959,3172,463.985339,8.0
179,2,Foul,2575959,3158,536.41189,9.0
221,2,Foul,2575959,3158,644.020804,11.0
339,2,Foul,2575959,3158,1034.688501,17.0
386,2,Foul,2575959,3158,1219.891441,20.0
415,2,Foul,2575959,3158,1315.224948,22.0
491,2,Foul,2575959,3172,1598.733745,27.0
530,2,Foul,2575959,3172,1781.081828,30.0
536,2,Foul,2575959,3158,1893.341045,32.0
557,2,Foul,2575959,3158,1968.715347,33.0
588,2,Foul,2575959,3158,2056.255971,34.0
654,2,Foul,2575959,3172,2208.840169,37.0
661,2,Foul,2575959,3172,2238.024354,37.0
722,2,Foul,2575959,3158,2410.104443,40.0
850,2,Foul,2575959,3158,2844.373643,47.0
956,2,Foul,2575959,3172,3180.002698,53.0
990,2,Foul,2575959,3158,3271.363862,55.0
1078,2,Foul,2575959,3172,3574.8236500000003,60.0
1197,2,Foul,2575959,3172,3982.5932629999998,66.0
1223,2,Foul,2575959,3172,4077.286953,68.0
1246,2,Foul,2575959,3158,4215.226728,70.0
1298,2,Foul,2575959,3172,4365.909211,73.0
1434,2,Foul,2575959,3158,4998.014354,83.0
1449,2,Foul,2575959,3158,5082.940225,85.0
1524,2,Foul,2575959,3172,5305.466799,88.0
1530,2,Foul,2575959,3158,5356.659101,89.0
1554,2,Foul,2575959,3158,5452.388112000001,91.0
1653,2,Foul,2575960,3185,147.215729,2.0
1839,2,Foul,2575960,3166,760.998863,13.0
1953,2,Foul,2575960,3185,1076.419692,18.0
1963,2,Foul,2575960,3166,1126.552647,19.0
1977,2,Foul,2575960,3166,1172.017968,20.0
2139,2,Foul,2575960,3166,1731.152763,29.0
2189,2,Foul,2575960,3166,1848.190925,31.0
2296,2,Foul,2575960,3166,2323.315656,39.0
2321,2,Foul,2575960,3166,2427.288798,40.0
2355,2,Foul,2575960,3166,2516.086794,42.0
2398,2,Foul,2575960,3166,2660.756533,44.0
2423,2,Foul,2575960,3185,2750.882799,46.0
2440,2,Foul,2575960,3166,2820.208421,47.0
2457,2,Foul,2575960,3166,2941.003886,49.0
2559,2,Hand foul,2575960,3166,3233.029587,54.0
2666,2,Foul,2575960,3166,3481.056373,58.0
2688,2,Foul,2575960,3166,3562.690111,59.0
2694,2,Foul,2575960,3185,3659.7894560000004,61.0
2726,2,Foul,2575960,3185,3745.662107,62.0
2863,2,Foul,2575960,3185,4256.67762,71.0
2875,2,Foul,2575960,3166,4295.53351,72.0
2882,2,Foul,2575960,3166,4326.562611,72.0
2906,2,Foul,2575960,3185,4464.704382,74.0
2911,2,Foul,2575960,3166,4544.678665,76.0
3006,2,Foul,2575960,3185,4817.665924999999,80.0
3053,2,Foul,2575960,3166,5179.64212,86.0
3077,2,Hand foul,2575960,3185,5263.337059,88.0
3153,2,Foul,2575960,3185,5525.663567,92.0
3203,2,Foul,2575961,3197,129.39509199999998,2.0
3209,2,Foul,2575961,3157,362.924834,6.0
3241,2,Foul,2575961,3197,467.481955,8.0
3251,2,Foul,2575961,3157,500.8984420000001,8.0
3279,2,Foul,2575961,3157,648.1104720000001,11.0
3288,2,Foul,2575961,3197,679.763285,11.0
3322,2,Foul,2575961,3157,800.7526720000001,13.0
3408,2,Foul,2575961,3157,1129.010051,19.0
3548,2,Foul,2575961,3197,1599.635158,27.0
3621,2,Foul,2575961,3197,1848.976157,31.0
3709,2,Foul,2575961,3197,2206.311421,37.0
3886,2,Foul,2575961,3197,2717.249798,45.0
3938,2,Foul,2575961,3157,2855.514111,48.0
3978,2,Foul,2575961,3157,2967.386106,49.0
4001,2,Foul,2575961,3197,3045.897227,51.0
4018,2,Foul,2575961,3157,3091.035991,52.0
4029,2,Foul,2575961,3157,3165.963702,53.0
4103,2,Foul,2575961,3157,3510.859324,59.0
4277,2,Foul,2575961,3157,4136.777128,69.0
4300,2,Foul,2575961,3157,4280.556974,71.0
4534,2,Hand foul,2575961,3157,5169.769359,86.0
4586,2,Foul,2575961,3197,5387.905103,90.0
4610,2,Foul,2575961,3197,5473.020334,91.0
4620,2,Foul,2575961,3157,5577.607658,93.0
4876,2,Foul,2575962,3187,696.718918,12.0
5105,2,Foul,2575962,3187,1389.743084,23.0
5139,2,Foul,2575962,3194,1493.674119,25.0
5194,2,Foul,2575962,3194,1645.501675,27.0
5335,2,Foul,2575962,3194,2113.456406,35.0
5348,2,Foul,2575962,3187,2243.075603,37.0
5366,2,Foul,2575962,3187,2377.842443,40.0
5470,2,Foul,2575962,3194,2713.746304,45.0
5618,2,Foul,2575962,3187,3052.624564,51.0
6037,2,Foul,2575962,3194,4432.337127,74.0
6142,2,Foul,2575962,3187,4873.210069000001,81.0
6201,2,Hand foul,2575962,3194,5228.716496,87.0
6233,2,Foul,2575962,3187,5340.751437999999,89.0
6249,2,Foul,2575962,3194,5434.878523,91.0
6250,2,Protest,2575962,3187,5439.684208000001,91.0
6281,2,Foul,2575962,3187,5535.488407,92.0
6294,2,Foul,2575962,3187,5565.082857,93.0
6392,2,Foul,2575963,3176,221.74980900000003,4.0
6397,2,Foul,2575963,3161,358.870128,6.0
6497,2,Foul,2575963,3176,589.4460140000001,10.0
6558,2,Foul,2575963,3176,773.8883109999999,13.0
6586,2,Foul,2575963,3161,928.549229,15.0
6592,2,Foul,2575963,3161,938.827335,16.0
6884,2,Foul,2575963,3176,1755.405863,29.0
7219,2,Foul,2575963,3176,2729.891104,45.0
7261,2,Foul,2575963,3176,2828.529455,47.0
7265,2,Foul,2575963,3176,2843.076662,47.0
7383,2,Foul,2575963,3161,3299.735512,55.0
7527,2,Foul,2575963,3176,3752.8878919999997,63.0
7566,2,Foul,2575963,3161,3929.877679,65.0
7585,2,Foul,2575963,3176,3996.811643,67.0
7607,2,Foul,2575963,3161,4087.560929,68.0
7665,2,Foul,2575963,3176,4315.004206,72.0
7814,2,Foul,2575963,3176,4850.478919,81.0
7888,2,Foul,2575963,3176,5134.339664,86.0
7973,2,Foul,2575963,3161,5460.175248,91.0
8005,2,Foul,2575963,3176,5610.0074970000005,94.0
8030,2,Foul,2575964,3173,36.777120000000025,1.0
8054,2,Foul,2575964,3173,160.185699,3.0
8067,2,Foul,2575964,3159,192.071609,3.0
8272,2,Foul,2575964,3159,788.490826,13.0
8392,2,Foul,2575964,3173,1175.659022,20.0
8420,2,Foul,2575964,3173,1291.053686,22.0
8658,2,Foul,2575964,3159,1931.716138,32.0
8726,2,Foul,2575964,3159,2154.05582,36.0
8733,2,Foul,2575964,3173,2313.042036,39.0
8794,2,Foul,2575964,3173,2486.556112,41.0
8893,2,Foul,2575964,3159,2816.837013,47.0
8950,2,Foul,2575964,3173,2944.7028,49.0
8956,2,Foul,2575964,3173,2974.874747,50.0
9012,2,Foul,2575964,3173,3185.254168,53.0
9126,2,Foul,2575964,3159,3517.997991,59.0
9157,2,Foul,2575964,3159,3609.9508690000002,60.0
9189,2,Foul,2575964,3159,3726.6293429999996,62.0
9388,2,Foul,2575964,3159,4580.5379410000005,76.0
9399,2,Foul,2575964,3159,4615.171869,77.0
9419,2,Foul,2575964,3173,4667.363908,78.0
9434,2,Foul,2575964,3159,4701.358294,78.0
