,eventId,subEventName,matchId,teamId,eventSec,eventMin
213,10,Shot,2500686,3799,605.975493,10.0
302,10,Shot,2500686,3772,859.236394,14.0
498,10,Shot,2500686,3772,1568.104834,26.0
577,10,Shot,2500686,3772,1800.852078,30.0
629,10,Shot,2500686,3799,2009.537139,33.0
648,10,Shot,2500686,3799,2072.957133,35.0
932,10,Shot,2500686,3772,2510.75679,42.0
1049,10,Shot,2500686,3772,2810.542029,47.0
1147,10,Shot,2500686,3799,3084.032191,51.0
1157,10,Shot,2500686,3799,3107.258442,52.0
1383,10,Shot,2500686,3772,3976.405874,66.0
1553,10,Shot,2500686,3799,4606.819237,77.0
1556,10,Shot,2500686,3799,4615.477772,77.0
1633,10,Shot,2500686,3799,4958.624306,83.0
1635,10,Shot,2500686,3799,4960.235393,83.0
1757,10,Shot,2500687,3776,122.92035600000004,2.0
1881,10,Shot,2500687,3776,512.154226,9.0
1970,10,Shot,2500687,3776,828.6870260000001,14.0
2089,10,Shot,2500687,3770,1231.154918,21.0
2091,10,Shot,2500687,3770,1234.432647,21.0
2169,10,Shot,2500687,3776,1449.254948,24.0
2221,10,Shot,2500687,3776,1644.963852,27.0
2295,10,Shot,2500687,3776,1862.828583,31.0
2397,10,Shot,2500687,3776,2200.403186,37.0
2607,10,Shot,2500687,3776,2536.18467,42.0
2641,10,Shot,2500687,3770,2651.511298,44.0
2702,10,Shot,2500687,3776,2918.307804,49.0
2736,10,Shot,2500687,3776,3016.285617,50.0
2807,10,Shot,2500687,3770,3205.04157,53.0
2953,10,Shot,2500687,3776,3864.996021,64.0
3181,10,Shot,2500687,3770,4628.678835000001,77.0
3226,10,Shot,2500687,3770,4813.4471570000005,80.0
3283,10,Shot,2500687,3770,5031.492096,84.0
3302,10,Shot,2500687,3776,5134.907431,86.0
3304,10,Shot,2500687,3776,5137.267164,86.0
3325,10,Shot,2500688,3766,38.210256000000015,1.0
3380,10,Shot,2500688,3766,202.445726,3.0
3497,10,Shot,2500688,3766,567.951667,9.0
3747,10,Shot,2500688,3766,1333.844117,22.0
3757,10,Shot,2500688,3766,1360.538512,23.0
3993,10,Shot,2500688,3766,2347.96293,39.0
4059,10,Shot,2500688,3779,2741.688664,46.0
4230,10,Shot,2500688,3766,2946.262351,49.0
4244,10,Shot,2500688,3766,2993.844545,50.0
4317,10,Shot,2500688,3766,3321.203818,55.0
4698,10,Shot,2500688,3779,4754.18896,79.0
4735,10,Shot,2500688,3779,4881.178624,81.0
4744,10,Shot,2500688,3779,4893.059859,82.0
4756,10,Shot,2500688,3779,4942.117948,82.0
4802,10,Shot,2500688,3766,5102.596849,85.0
4809,10,Shot,2500688,3779,5181.007741,86.0
4905,10,Shot,2500689,3804,244.53475200000003,4.0
4990,10,Shot,2500689,3771,647.176407,11.0
5074,10,Shot,2500689,3804,987.342719,16.0
5090,10,Shot,2500689,3804,1067.347045,18.0
5115,10,Shot,2500689,3771,1146.410486,19.0
5206,10,Shot,2500689,3804,1439.608442,24.0
5219,10,Shot,2500689,3771,1488.792613,25.0
5233,10,Shot,2500689,3804,1543.463254,26.0
5457,10,Shot,2500689,3771,2384.58116,40.0
5516,10,Shot,2500689,3804,2579.983885,43.0
5606,10,Shot,2500689,3771,2458.447776,41.0
5658,10,Shot,2500689,3771,2604.87714,43.0
5687,10,Shot,2500689,3771,2679.795341,45.0
5712,10,Shot,2500689,3771,2725.000126,45.0
5715,10,Shot,2500689,3804,2787.065646,46.0
5769,10,Shot,2500689,3771,2901.496671,48.0
5808,10,Shot,2500689,3771,3122.549416,52.0
5848,10,Shot,2500689,3804,3290.088749,55.0
5884,10,Shot,2500689,3804,3400.935722,57.0
6048,10,Shot,2500689,3771,3850.7123659999997,64.0
6111,10,Shot,2500689,3771,4012.04928,67.0
6201,10,Shot,2500689,3771,4457.037301,74.0
6219,10,Shot,2500689,3771,4498.344631,75.0
6291,10,Shot,2500689,3804,4783.74965,80.0
6367,10,Shot,2500689,3771,5033.799576,84.0
6370,10,Shot,2500689,3771,5037.0567790000005,84.0
6374,10,Shot,2500689,3771,5045.296732,84.0
6466,10,Shot,2500690,3785,153.24607600000002,3.0
6686,10,Shot,2500690,3777,822.5978540000001,14.0
6740,10,Shot,2500690,3785,1056.193614,18.0
6797,10,Shot,2500690,3777,1235.504679,21.0
6813,10,Shot,2500690,3777,1267.893487,21.0
7037,10,Shot,2500690,3785,1927.074573,32.0
7066,10,Shot,2500690,3777,2066.779445,34.0
7271,10,Shot,2500690,3777,2548.954251,42.0
7287,10,Shot,2500690,3777,2600.185674,43.0
7583,10,Shot,2500690,3785,3585.9343799999997,60.0
7665,10,Shot,2500690,3785,3898.9308659999997,65.0
7726,10,Shot,2500690,3785,4135.841734,69.0
7841,10,Shot,2500690,3785,4523.430045,75.0
7893,10,Shot,2500690,3785,4726.607984,79.0
8121,10,Shot,2500691,19830,241.432822,4.0
8145,10,Shot,2500691,3780,339.735142,6.0
8198,10,Shot,2500691,19830,576.442938,10.0
8229,10,Shot,2500691,19830,742.94602,12.0
8255,10,Shot,2500691,19830,828.687717,14.0
8322,10,Shot,2500691,19830,1044.239925,17.0
8467,10,Shot,2500691,19830,1468.420071,24.0
8498,10,Shot,2500691,19830,1672.839247,28.0
8694,10,Shot,2500691,19830,2380.297055,40.0
8760,10,Shot,2500691,3780,2706.792446,45.0
8896,10,Shot,2500691,3780,2826.337833,47.0
8985,10,Shot,2500691,19830,3158.898846,53.0
9156,10,Shot,2500691,19830,3844.7340000000004,64.0
9358,10,Shot,2500691,3780,4849.756128,81.0
9379,10,Shot,2500691,19830,4980.074268,83.0
9443,10,Shot,2500691,19830,5227.263481,87.0
9585,10,Shot,2500692,3783,297.470835,5.0
9629,10,Shot,2500692,3787,441.951886,7.0
9642,10,Shot,2500692,3783,465.523461,8.0
9656,10,Shot,2500692,3787,543.244536,9.0
9683,10,Shot,2500692,3783,659.838337,11.0
9735,10,Shot,2500692,3783,788.364935,13.0
10021,10,Shot,2500692,3787,1812.564765,30.0
10050,10,Shot,2500692,3783,1896.524231,32.0
10072,10,Shot,2500692,3787,1973.473105,33.0
10087,10,Shot,2500692,3787,2041.293987,34.0
10141,10,Shot,2500692,3787,2288.193885,38.0
10436,10,Shot,2500692,3787,2676.37544,45.0
10534,10,Shot,2500692,3783,2966.531672,49.0
10584,10,Shot,2500692,3787,3187.664822,53.0
10612,10,Shot,2500692,3783,3327.240619,55.0
10696,10,Shot,2500692,3787,3637.1890430000003,61.0
10772,10,Shot,2500692,3783,3866.273445,64.0
11230,10,Shot,2500693,3767,198.770835,3.0
11249,10,Shot,2500693,3767,270.22957799999995,5.0
11256,10,Shot,2500693,3767,304.13934600000005,5.0
11363,10,Shot,2500693,3789,594.150889,10.0
11530,10,Shot,2500693,3767,1043.416986,17.0
11532,10,Shot,2500693,3767,1045.100539,17.0
11570,10,Shot,2500693,3767,1167.86697,19.0
11614,10,Shot,2500693,3767,1302.385321,22.0
11657,10,Shot,2500693,3767,1420.486689,24.0
11754,10,Shot,2500693,3789,1731.915551,29.0
11856,10,Shot,2500693,3767,2037.963279,34.0
11919,10,Shot,2500693,3767,2209.320861,37.0
12009,10,Shot,2500693,3767,2478.338197,41.0
12246,10,Shot,2500693,3767,2916.582364,49.0
12329,10,Shot,2500693,3767,3200.287849,53.0
12421,10,Shot,2500693,3789,3569.6436439999998,59.0
12471,10,Shot,2500693,3789,3745.5529159999996,62.0
12630,10,Shot,2500693,3767,4197.345712,70.0
